status,cost.initial,cost.final,dt,g1,g1p,g2,g2p,k01,k02,n,n1,n2,cost,gene,method,message,trace,fnscale,factr,maxit,a,ftol,ptol,gtol,maxiter,b
rerun_not_necessary,49.8795076622242,49.87949882036215,100,0.015521088358482312,0.00583299709470131,1.1098421985840752,1e-5,0.16831854013028466,0.09807279991520804,8.321151663651518,1.525948237909918,4,49.87949882036215,ENSG00000143195,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,20.204402163887217,NA,NA,NA,NA,99999.92869850922
rerun_not_necessary,15.902585052098656,15.902488903877273,0.01,0.05349623225239241,0.11539184017692034,1.6925495241516642,5.6414873727926445,0.9988136771188527,2,8.691213915925678,4,1.007564271384835,15.902488903877273,ENSG00000143228,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,358.91479337632876,NA,NA,NA,NA,97815.14598483563
rerun_necessary,31.98592566680632,31.914210834224633,0.01,0.01545460370258761,0.07353355326486107,0.016165578860656348,2.7143585156331015e-4,1.2575857990467807,0.4222287184542843,1.909976607337399,4,4,31.914210834224633,ENSG00000143320,lm,Relative error between `par' and the solution is at most `ptol'.,NA,NA,NA,NA,92.54657000226955,NA,NA,NA,NA,1678.8027296858347
rerun_not_necessary,48.712010345418044,48.70909437363868,32.40695078742884,0.11268472697999238,2.520450919118579,0.017010867905076024,9.618392575931509e-4,1.9799277468086427,0.07735872978128891,19.999998182584243,4,4,48.70909437363868,ENSG00000143341,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,37.33550453418668,NA,NA,NA,NA,657.2641734565893
rerun_necessary,8.654946910556406,8.603129779679367,0.01,0.08002540557759312,0.10013358017132545,0.13504661404854257,0.04972020855488284,0.20851946353530218,0.3161738774837994,9.319257378194514,4,2.2999634575885137,8.603129779679367,ENSG00000143344,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,171.3121936084382,NA,NA,NA,NA,2067.985515775254
rerun_not_necessary,24.412112244619472,24.410867816173507,16.47119579900114,0.1393326061855227,1e-5,0.21860868415222864,1e-5,0.12976435987165644,0.45225807785163,5.949745204545317,1,4,24.410867816173507,ENSG00000143353,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,201.8796614861888,NA,NA,NA,NA,1100.9332166877055
rerun_necessary,9.817496543266444,9.594907597578024,0.4325194816760156,0.01799244813586989,5.96741278811067e-4,1.566759300318008,0.1455874230163422,0.01,0.3330716021895606,1,4,3.9999765426790774,9.594907597578024,ENSG00000143367,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,188.99111359644638,NA,NA,NA,NA,45997.73542954769
rerun_not_necessary,11.024398383683096,11.021983250295744,30.616082197848097,0.04582344324883848,1e-5,0.10614773775452312,0.08038993912932742,0.8816015038229835,0.22768604116407326,3.4725153665709683,4,2.6065134190573875,11.021983250295744,ENSG00000143375,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,70.36277172697375,NA,NA,NA,NA,2151.7591730988597
rerun_not_necessary,14.094940455794001,14.094940455783295,0.01,0.1465496260135624,0.0907376986656785,0.2270206192941172,1e-5,0.3913639091448557,0.587711286029063,9.061695883383884,4,4,14.094940455783295,ENSG00000143412,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,17.322857709202594,NA,NA,NA,NA,221.00326371378475
rerun_necessary,3.7209115430604576,3.6702123187361946,100,0.0023657359613907464,0.01096441780398591,4.508955029478237e-5,0.8950186304088926,1.1971591020192305,1.882801143880366,3.6737759597238138,2.6353769554377586,2.494718105283014,3.6702123187361946,ENSG00000143416,lm,Relative error between `par' and the solution is at most `ptol'.,NA,NA,NA,NA,32.863612509887986,NA,NA,NA,NA,33532.75320385593
rerun_necessary,19.036100673801574,18.470195312889356,20.163232935993705,0.012601675508517672,0.0010179248467827068,0.04894188638948495,0.029488228357555712,0.6866890033062698,0.31023768993530754,1,4,4,18.470195312889356,ENSG00000143494,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,1.8201104350375248,NA,NA,NA,NA,1208.1696203610913
rerun_necessary,23.0802925085133,22.779256907812325,100,0.0010761639464346663,1.4099948612866304e-4,0.10944229137486819,1e-5,0.39675042734921306,0.3626684146707699,1.9516961231195544,3.4084720751518396,3.983171259110745,22.779256907812325,ENSG00000143498,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,9.092556159199479,NA,NA,NA,NA,100000
rerun_not_necessary,14.629083653616316,14.629028513197767,100,0.08841195276122664,0.7156380292952409,0.05050912816007725,0.008106956420962591,2,0.17817824182394912,10.548721751254424,3.3070509026684958,1.1026914606037854,14.629028513197767,ENSG00000143507,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,31.229535286155087,NA,NA,NA,NA,407.64295405312373
rerun_not_necessary,5.905426177564922,5.90227498939494,97.46669858085583,0.028701259505435336,0.002867633060633623,0.04857775764513181,0.05319443223861331,1.9893574201717892,0.15990969788671375,4.08774955424579,1.3344848098357358,4,5.90227498939494,ENSG00000143545,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,1.0135423223196138,NA,NA,NA,NA,26638.689441578965
rerun_not_necessary,41.15311872970707,41.15311489220751,3.3164898525480764,0.03579882922905126,0.7809562486317441,0.7741628089276119,1.0715097076326483,2,0.01,1,4,4,41.15311489220751,ENSG00000143632,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,68.35555728824578,NA,NA,NA,NA,99998.43466913015
rerun_necessary,19.14683982038145,18.28329713837913,99.6786391629221,0.1073605617124084,0.14516911308232627,0.0073967794472835895,0.0049664605370724965,0.23630784859395204,0.6378500194296068,18.315271712801497,2.3139627812336614,4,18.28329713837913,ENSG00000143643,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,152.05238667538688,NA,NA,NA,NA,289.0140420317361
rerun_not_necessary,7.127793618360677,7.127773630914523,37.05708747954501,0.01861941440794436,0.005121770515675951,1.543577810730667,0.7225184352951295,0.31555463300568226,0.7984593022468137,1,2.359512295933085,3.764414817685448,7.127773630914523,ENSG00000143753,lm,Number of iterations has reached `maxiter' == 1024.,NA,NA,NA,NA,241.75498968119456,NA,NA,NA,NA,77532.99213959905
rerun_necessary,8.075357584703303,6.786153373671584,72.01514531380806,0.20778990686407567,0.3287997491467951,0.03548911495772519,0.02061596846539317,0.01,0.325406836474129,16.240856183591553,3.5927599960833794,4,6.786153373671584,ENSG00000143819,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,15.011823454729795,NA,NA,NA,NA,108.07191572395207
rerun_necessary,27.65535592426899,27.45214535964679,100,0.03808997795979356,9.999999999999999e-6,0.03600547574070698,0.021650710341488702,1.0413213103282704,0.2935190580197208,4.859071897404576,4,3.3256059190755978,27.45214535964679,ENSG00000143942,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,1,NA,NA,NA,NA,2113.4541427069225
rerun_not_necessary,5.463502572362332,5.462727748312926,93.1907417568208,0.009541763666044947,7.721706978847477e-4,0.03346242443100062,1e-5,1.998258516674125,0.8952831992414567,6.7178676568912925,4,1.9016216153780272,5.462727748312926,ENSG00000143952,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,148.01753111263224,NA,NA,NA,NA,34307.52200062609
rerun_necessary,14.991299948510795,14.587000276986972,0.01,5.342960988903322e-4,0.001460249130555617,0.14976645916701542,4.165704566876655,0.1448981949228497,1.7050577580662454,1.665770075506036,4,1.1425920783868706,14.587000276986972,ENSG00000144026,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,24.053383205473164,1e-25,1e-16,1e-15,20000,92320.28622808153
rerun_not_necessary,66.75034066882158,66.75034062252058,0.01,0.0073438223033778964,0.0710376666673994,1e-5,0.7272503997004862,2,0.5845638201855201,5.204430278657285,1.8960424011928534,4,66.75034062252058,ENSG00000144057,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,13.813347488771463,NA,NA,NA,NA,10059.686730339541
rerun_not_necessary,14.639814482355623,14.639814482354943,0.01,0.17009372811624232,0.1824014455244088,1e-5,0.011479023877962347,0.11900591942956577,0.19347083995074948,20,1,3.5141580526390728,14.639814482354943,ENSG00000144152,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,16.11497754116376,NA,NA,NA,NA,139.69409716671245
rerun_not_necessary,2.2927737989057424,2.2927211640349463,74.13069687419842,0.09024381350748147,0.0250029153597619,1.0518006554033954,3.467368504525352e-5,0.7896682081162273,0.4772380575793373,20,1.5826493253083138,3.5548751716447904,2.2927211640349463,ENSG00000144161,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,75.47816010621929,NA,NA,NA,NA,9976.376619077135
rerun_necessary,23.409218473202465,23.38508418273899,100,0.0034477033616600984,0.17630269630374695,1.6107101095496164,1.0533367532363345,2,0.17088887407122141,2.8698581352227297,4,4,23.38508418273899,ENSG00000144229,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,11.494066695281393,NA,NA,NA,NA,44028.88605723264
rerun_necessary,43.780902830117704,43.73935836076085,99.55086659394102,0.017318533158969897,1e-5,1e-5,0.0031230208285351457,0.6402238693250369,0.08681306887902879,10.326377432321435,3.9999998935165113,4,43.73935836076085,ENSG00000144331,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,26.638604912518286,NA,NA,NA,NA,24808.871543055408
rerun_not_necessary,4.2563969301280045,4.256396046180316,35.34140949124816,0.00833061826571749,0.011564273772803155,3,8.025258385384586,0.20942018457563227,0.38914440275562595,2.997600639348788,4,4,4.256396046180316,ENSG00000144445,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,17.064395986158672,NA,NA,NA,NA,59917.322046217385
rerun_necessary,15.52554012192598,15.381166029058788,5.294760047843874,1.9030578740867188,1e-5,1.6816318040251304,1e-5,0.40486093866250505,0.44499555329398793,11.411671783153214,4,4,15.381166029058788,ENSG00000144476,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,18.50829578360032,NA,NA,NA,NA,169.4108568901472
rerun_not_necessary,26.017202133663,26.013456885124192,0.01,0.12864610964666026,1e-5,2.9503302869485086,1.8246768779948594,0.7561251133877802,0.13919076353937468,20,4,3.986584539797912,26.013456885124192,ENSG00000144481,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,15.07945336227134,NA,NA,NA,NA,6231.7832864366865
rerun_necessary,6.067312016939029,6.056715456069759,99.97356953508336,2.4756726016682875e-4,0.029237150059411125,1e-5,0.0947159163896658,1.6926221756410411,0.8683786144754941,1.2400063145585762,4,3.782412196610229,6.056715456069759,ENSG00000144579,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,22.09740547321634,NA,NA,NA,NA,6249.790451364124
rerun_necessary,6.414273033799651,6.130395633121317,100,2.665065008164794,0.01889029250271085,0.014176988974238722,0.14258925080079432,0.037506157064736895,1.7710216746381404,1.779459173372647,3.9997218072521687,1,6.130395633121317,ENSG00000144583,lm,Relative error between `par' and the solution is at most `ptol'.,NA,NA,NA,NA,29.500981710211146,NA,NA,NA,NA,423.0356572749565
rerun_necessary,17.591744180885197,17.58122795197118,0.14876351494092457,0.008165345812146873,0.0031790803644178092,3,1e-5,0.3710583945581244,0.21747369551272222,4.02858483042313,4,2.554453647287231,17.58122795197118,ENSG00000144619,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,11.386218456727047,NA,NA,NA,NA,65858.70255993708
rerun_necessary,25.290251981449025,25.270208080814697,51.00882587098977,0.12892272538338853,0.006874895773905271,0.8833708007865816,8.752862631497262,1.0180468301032453,2,20,4,1.0549052172624547,25.270208080814697,ENSG00000144649,lbfgsb,CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH,0,1000000,100,20000,17.580947209315855,NA,NA,NA,NA,1884.114310323605
rerun_necessary,7.656731843498012,7.624900207417397,3.353745827741801,0.018179104326841486,4.4692554135558854e-4,3,1e-5,0.01,0.09012522893956916,1,4,1.4575971162737478,7.624900207417397,ENSG00000144668,lm,`ptol' is too small. No further improvement in the approximate solution `par' is possible.,NA,NA,NA,NA,12.385563558557884,1e-25,1e-16,1e-15,20000,3529.9918647423433
