No in list,File (new name),Name of Differentiation,time of differentiation [h],replicate,differentiation protocol,cell line,compound,study,treatment_start [h],treatment_end [h],compound_concentration [M]
68,UKN1_sat_a_untr_D12_32NS_206.CEL,D12_32NS,144,B,UKN1,H9-hESC,untreated,VPA sat acute,,,
69,UKN1_sat_a_VPA_5mM_D12_TW_207.CEL,D12_TW,144,A,UKN1,H9-hESC,VPA,VPA sat acute,96,144,5.00E-003
70,UKN1_sat_a_VPA_4mM_D12_TW_208.CEL,D12_TW,144,B,UKN1,H9-hESC,VPA,VPA sat acute,96,144,4.00E-003
71,UKN1_sat_a_VPA_2mM_D12_TW_209.CEL,D12_TW,144,C,UKN1,H9-hESC,VPA,VPA sat acute,96,144,2.00E-003
72,UKN1_sat_a_VPA_1mM_D12_TW_210.CEL,D12_TW,144,D,UKN1,H9-hESC,VPA,VPA sat acute,96,144,1.00E-003
73,"UKN1_sat_a_VPA_0,6mM_D12_TW_211.CEL",D12_TW,144,E,UKN1,H9-hESC,VPA,VPA sat acute,96,144,6.00E-004
74,UKN1_sat_a_untr_D12_TW_212.CEL,D12_TW,144,C,UKN1,H9-hESC,untreated,VPA sat acute,,,
75,UKN1_sat_c_VPA_1000µM_D12_25NS_141.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.00E-003
76,UKN1_sat_c_VPA_1000µM_D12_26NS_142.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.00E-003
77,UKN1_sat_c_VPA_1000µM_D12_27NS_143.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,1.00E-003
78,UKN1_sat_c_VPA_800µM_D12_25NS_144.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,8.00E-004
79,UKN1_sat_c_VPA_800µM_D12_26NS_145.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,8.00E-004
80,UKN1_sat_c_VPA_800µM_D12_27NS_146.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,8.00E-004
81,UKN1_sat_c_VPA_650µM_D12_25NS_147.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,6.50E-004
82,UKN1_sat_c_VPA_650µM_D12_26NS_148.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,6.50E-004
83,UKN1_sat_c_VPA_650µM_D12_27NS_149.CEL,D12_27NS,144,C,UKN1,H9-hESC,VPA,VPA sat conc,0,144,6.50E-004
84,UKN1_sat_c_VPA_550µM_D12_25NS_150.CEL,D12_25NS,144,A,UKN1,H9-hESC,VPA,VPA sat conc,0,144,5.50E-004
85,UKN1_sat_c_VPA_550µM_D12_26NS_151.CEL,D12_26NS,144,B,UKN1,H9-hESC,VPA,VPA sat conc,0,144,5.50E-004
